ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID 2 Digit Course,2 Digit Course,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Detailed Occupation
"211010","Counselors",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3047,1355.209492312624,47432.36429274696,12646.589764585478,0.31168264801110557,33,"counselors"
"172141","Mechanical engineers",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",3046,1354.9866345568269,80727.6339461589,16945.37931249173,1.0783129460101644,26,"mechanical-engineers"
"211020","Social workers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3041,1353.8745573646545,38411.236764222296,12584.315899856447,0.27781388942211716,27,"social-workers"
"119141","Property, real estate, & community association managers",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3033,1352.09239838061,75194.398944939,25770.237621198143,0.4650887757246383,36,"property-real-estate-community-association-managers"
"131041","Compliance officers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",3012,1347.4041097193508,95857.54349269588,45910.09684169493,0.7632651759650586,33,"compliance-officers"
"533041","Taxi drivers & chauffeurs",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3006,1346.0612678324505,36677.83632734531,14009.984672600222,0.4871394956520195,22,"taxi-drivers-chauffeurs"
"311010","Nursing, psychiatric, & home health aides",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",2999,1344.4931159373562,23277.57852617539,4557.106172366978,0.11215699886598782,26,"nursing-psychiatric-home-health-aides"
"172141","Mechanical engineers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2993,1343.1476912757782,103442.51854326762,47892.71390087806,0.7503515953232963,34,"mechanical-engineers"
"113061","Purchasing managers",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2989,1342.2498831346688,103503.67146202743,22955.912853028334,1.0734151498702946,25,"purchasing-managers"
"211012","Educational, guidance, and career counselors and advisors",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",2986,1341.5761327025205,47241.84058941728,9442.755427851458,0.6491613183050037,27,"educational-guidance-and-career-counselors-and-advisors"
