ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,CIP2,ID CIP2
"79500US2601400","Bay & Midland Counties PUMA, MI",2014,"2014","true","true",0.39554382004663086,363,466.6853415860565,57761.64462809917,36065.29689861977,6,"bay-&-midland-counties-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601200","Isabella, Gratiot & Clare Counties PUMA, MI",2014,"2014","true","true",0.4516098593670972,308,429.73777502337134,66941.74025974025,44220.19048071006,6,"isabella-gratiot-&-clare-counties-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601100","Ionia, Montcalm, Mecosta & Osceola Counties PUMA, MI",2014,"2014","true","true",0.5174262375293929,468,529.5213707561626,62604.232905982906,29882.708536295402,5,"ionia-montcalm-mecosta-&-osceola-counties-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US4805203","Austin City (Far North), Brushy Creek & Jollyville PUMA, TX",2014,"2014","true","true",3.3881186804535552,2294,1152.4391529430845,102793.85091543155,14760.512745718876,19,"austin-city-(far-north)-brushy-creek-&-jollyville-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2601004","Kent County (North) PUMA, MI",2014,"2014","true","true",0.7146341455318592,463,526.0755028492381,80046.73002159827,20579.436290922094,5,"kent-county-(north)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601003","Kent County (Southeast) PUMA, MI",2014,"2014","true","true",1.2263293138466935,1164,831.6173212205388,84896.21735395188,34002.27134386741,8,"kent-county-(southeast)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601002","Grand Rapids City Area PUMA, MI",2014,"2014","true","true",0.8692604382544276,929,744.5095052575216,63541.630785791174,19584.789669347378,9,"grand-rapids-city-area-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601001","Kent County (Southwest) PUMA, MI",2014,"2014","true","true",0.8232869714701229,670,632.4371388355925,52236.41492537314,20746.888306300192,5,"kent-county-(southwest)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US4805204","Williamson County (West)Cedar Park & Leander Cities PUMA, TX",2014,"2014","true","true",1.2456864761077684,932,744.055376962212,52360.19635193133,25622.610009400225,8,"williamson-county-(west)-cedar-park-&-leander-cities-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2600802","Ottawa County (East) PUMA, MI",2014,"2014","true","true",0.6889884614337972,506,550.0451220724391,114910.6324110672,115388.45661713017,5,"ottawa-county-(east)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2600801","Ottawa County (West) PUMA, MI",2014,"2014","true","true",0.9055145949868302,780,682.0511235421743,73894.92948717948,45328.207607277516,7,"ottawa-county-(west)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2504902","Plymouth County (Central) PUMA, MA",2014,"2014","true","true",0.7811230146298538,490,540.9856925441441,118376.74489795919,33727.04164632875,5,"plymouth-county-(central)-puma-ma","Computer and Information Sciences and Support Services","11"
