ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2015,"2015","5415","Computer Systems Design","true","true",52393,116227.87733094116,9115.08043886557,5618.650825003819,527,"Math & Statistics","27"
2015,"2015","5413","Architectural, engineering & related services","true","true",10068,114963.17739372268,19844.23155445424,2463.3783287881256,101,"Math & Statistics","27"
2015,"2015","23","Construction","true","true",10699,63188.63033928404,12383.082651330864,2539.3943632834025,98,"Math & Statistics","27"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",185695,68359.47491854924,4015.8768609329663,10572.884794084965,1851,"Engineering","14"
2015,"2015","6111","Elementary & secondary schools","true","true",66112,52892.29990016941,3799.975374271087,6311.241165274812,701,"Engineering","14"
2015,"2015","6111","Elementary & secondary schools","true","true",48948,53397.27022554548,3572.0964261522718,5430.853705196656,542,"Physical Sciences","40"
2015,"2015","5413","Architectural, engineering & related services","true","true",384744,102951.64683529828,2909.242381739918,15208.182653987093,3904,"Engineering","14"
2015,"2015","23","Construction","true","true",206065,94281.45727804334,4316.469487623589,11136.907818530497,2004,"Engineering","14"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",86756,59489.79197980543,3897.837225377458,7229.247808340044,851,"Computer and Information Sciences and Support Services","11"
2015,"2015","6111","Elementary & secondary schools","true","true",54299,49904.20348441039,3181.553125471636,5719.900032476123,537,"Computer and Information Sciences and Support Services","11"
2015,"2015","5415","Computer Systems Design","true","true",393513,98867.78513797511,2491.816488108293,15380.045483158252,3546,"Computer and Information Sciences and Support Services","11"
2015,"2015","5413","Architectural, engineering & related services","true","true",28946,89229.37808332758,7072.289993813463,4176.622297911399,285,"Computer and Information Sciences and Support Services","11"
2015,"2015","23","Construction","true","true",24641,60917.632036037496,7860.328414323886,3853.599776435787,202,"Computer and Information Sciences and Support Services","11"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",13305,71025.34934235249,14895.55208383981,2831.796564668488,158,"Architecture and Related Services","04"
2015,"2015","6111","Elementary & secondary schools","true","true",7971,54252.455902647096,9449.574546153914,2191.8917048808344,89,"Architecture and Related Services","04"
2015,"2015","5415","Computer Systems Design","true","true",4789,103613.38651075381,26549.910847926098,1698.9864900854918,51,"Architecture and Related Services","04"
2015,"2015","5413","Architectural, engineering & related services","true","true",125931,85368.0349953546,5352.770697021298,8708.639534365517,1329,"Architecture and Related Services","04"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",152708,66362.2809545014,4350.666960380416,9589.021621286845,1569,"Physical Sciences","40"
2014,"2014","5413","Architectural, engineering & related services","true","true",122285,79120.2216625097,5080.92555477964,8581.687916209663,1242,"Architecture and Related Services","04"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",146342,68765.11802490057,4557.171183661244,9387.144139456617,1548,"Physical Sciences","40"
2014,"2014","6111","Elementary & secondary schools","true","true",52614,52388.16689474284,3511.1506859003234,5630.465180206675,577,"Physical Sciences","40"
2014,"2014","5415","Computer Systems Design","true","true",35719,109203.80861726252,9436.04302404029,4639.480157519922,370,"Physical Sciences","40"
2014,"2014","5413","Architectural, engineering & related services","true","true",30986,89432.64064416187,10756.813992837368,4321.25339424818,308,"Physical Sciences","40"
2014,"2014","23","Construction","true","true",14373,75490.8590412579,16503.244463485036,2943.2442772484187,138,"Physical Sciences","40"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",81079,65966.7249596073,5360.278393484157,6988.820673083171,859,"Math & Statistics","27"
2014,"2014","6111","Elementary & secondary schools","true","true",84446,54023.492444876014,2329.1615258834668,7132.373076680606,964,"Math & Statistics","27"
2014,"2014","5415","Computer Systems Design","true","true",50603,109602.71863328261,8301.155127387654,5521.853130532237,530,"Math & Statistics","27"
2014,"2014","5413","Architectural, engineering & related services","true","true",9863,106206.42623948089,19790.960192737788,2438.1704683760177,103,"Math & Statistics","27"
2014,"2014","23","Construction","true","true",9389,76524.82958781553,20370.606249571443,2378.865843299851,89,"Math & Statistics","27"
2014,"2014","611M1","Colleges, universities & professional schools, including junior colleges","true","true",161156,65665.14454938073,4084.1006103661534,9850.297927468288,1648,"Engineering","14"
